stop_name,lat,lon,time_mins,main_mode
CIUDAD LINEAL,40.43805,-3.63816,32.65,metro
Arturo Soria,40.43819,-3.63802,33.05,metro
Hnos. García Noblejas,40.43758,-3.63806,34.016666666666666,metro
Alcalá pares,40.44075,-3.6272,37.28333333333333,metro
SUANZES,40.44085,-3.62684,35.1,metro
PUEBLO NUEVO,40.43569,-3.64282,26.083333333333332,metro
Emilio Ferrari,40.4351,-3.64389,27.716666666666665,metro
Doctor Vallejo,40.43608,-3.64215,27.133333333333333,metro
Vicente Espinel,40.43607,-3.64181,27.683333333333334,metro
Campuzano,40.43593,-3.64211,27.116666666666667,metro
QUINTANA,40.43358,-3.64736,29.883333333333333,metro
Hnos. Machado,40.4329,-3.64916,32.583333333333336,metro
Ezequiel Solana,40.43358,-3.64696,30.683333333333334,metro
Argentina,40.43307,-3.64911,32.28333333333333,metro
EL CARMEN,40.43189,-3.65757,28.066666666666666,metro
Virgen del Sagrario,40.43368,-3.64754,30.666666666666668,metro
Alcalde López Casero,40.43244,-3.65538,31.166666666666668,metro
VENTAS,40.43088,-3.66361,23.516666666666666,metro
Hnos. Fdez. Lanseros,40.43176,-3.65739,28.65,metro
DIEGO DE LEON,40.43235,-3.67426,19.116666666666667,metro
Velázquez,40.43281,-3.68313,20.283333333333335,metro
NUÑEZ DE BALBOA,40.43278,-3.68258,20.883333333333333,metro
RUBEN DARIO,40.43316,-3.68954,16.283333333333335,metro
Almagro,40.43276,-3.69097,16.633333333333333,metro
Núñez de Balboa,40.43277,-3.6823,21.183333333333334,metro
ALONSO MARTINEZ,40.42828,-3.69502,14.566666666666666,metro
CHUECA,40.42293,-3.69762,21.4,metro
Plaza de Chueca,40.42263,-3.69767,21.883333333333333,metro
San Millán,40.41113,-3.70813,26.466666666666665,metro
LA LATINA,40.41128,-3.70816,25.966666666666665,metro
San Francisco,40.41108,-3.70868,27.783333333333335,metro
ACACIAS,40.40387,-3.70664,29.766666666666666,metro
Toledo,40.41166,-3.70821,28.733333333333334,metro
PIRAMIDES,40.4026,-3.71138,31.15,metro
PUERTA DE TOLEDO,40.40704,-3.71105,27.466666666666665,metro
Puerta de Toledo,40.40681,-3.71087,27.983333333333334,metro
MARQUES DE VADILLO,40.39736,-3.71596,33.1,metro
Antonio Leyva,40.3973,-3.71607,34.266666666666666,metro
Pº de las Acacias pares,40.40157,-3.71285,34.766666666666666,metro
Pº de las Acacias impares,40.40143,-3.71269,34.68333333333333,metro
Avda. Emperatriz Isabel,40.39766,-3.71638,34.03333333333333,metro
URGEL,40.39335,-3.7236,35.06666666666667,metro
OPORTO,40.38846,-3.73132,36.61666666666667,metro
Toboso,40.39265,-3.72533,37.81666666666667,metro
Peñafiel,40.39353,-3.7237,35.61666666666667,metro
San Patricio,40.39365,-3.7231,35.85,metro
Valle de Oro,40.38844,-3.73127,36.516666666666666,metro
Oca,40.38865,-3.73171,37.1,metro
VISTA ALEGRE,40.38885,-3.73982,40.7,metro
General Ricardos impares,40.38975,-3.72973,39.46666666666667,metro
Pinzón,40.38869,-3.73993,41.416666666666664,metro
Oca,40.38929,-3.73754,43.4,metro
CARABANCHEL,40.38783,-3.74487,39.1,metro
LAGUNA,40.39923,-3.74429,31.333333333333332,metro
Ascensor nº1,40.39918,-3.74464,32.516666666666666,metro
Ntra. Sra. de la Luz,40.38476,-3.75058,39.3,metro
EUGENIA DE MONTIJO,40.38439,-3.75121,37.6,metro
CARPETANA,40.3927,-3.74099,38.15,metro
Ascensor exterior nº1,40.39278,-3.74097,38.25,metro
Ascensor exterior nº2,40.39322,-3.74069,38.93333333333333,metro
Vía Carpetana,40.39277,-3.74134,38.35,metro
Nuestra Señora de Valvanera - via Carpetana - Ateca,40.39332,-3.74058,39.11666666666667,metro
Portalegre impares,40.38584,-3.72337,35.766666666666666,metro
Marcelo Usera - Ascensor,40.38538,-3.7169,37.05,metro
OPAÑEL,40.3869,-3.72313,34.266666666666666,metro
Portalegre pares,40.38635,-3.72348,35.5,metro
Plaza Elíptica,40.38561,-3.71776,35.7,metro
PLAZA ELIPTICA,40.3846,-3.71837,32.63333333333333,metro
Plaza Elíptica - Ascensor,40.38536,-3.71815,34.56666666666667,metro
Mirasierra,40.38822,-3.70374,35.81666666666667,metro
